Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
110612811,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
110612822,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
110619803,000001D0,false,Rx,0,8,46,43,6A,C6,4E,8A,3D,B2,
110635804,000004E5,false,Rx,0,8,67,42,FF,01,FF,FF,FF,FF,
110637801,000000C0,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
110649804,00000200,false,Rx,0,8,40,81,FC,03,00,00,00,00,
110653794,00000581,false,Rx,0,8,40,5D,00,0D,FF,FF,FF,FF,
110656792,000001A6,false,Rx,0,8,02,00,00,00,00,00,54,FC,
110664785,00000328,false,Rx,0,6,96,AC,1D,00,16,20,00,00,
110668792,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
110669783,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
110670787,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
110670793,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
110686792,000000A8,false,Rx,0,8,F9,15,04,10,04,1F,03,02,
110688783,000001B4,false,Rx,0,8,00,10,E2,F3,16,30,FC,DF,
110689784,000000AA,false,Rx,0,8,E2,85,02,00,88,0D,80,9A,
110690776,000000BE,false,Rx,0,5,0F,FF,FF,7C,FF,00,00,00,
110692777,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
110694783,000000C8,false,Rx,0,6,00,80,FD,00,80,F2,00,00,
110696781,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
110698784,0000019E,false,Rx,0,8,00,ED,E0,FC,F0,00,00,5C,
110700775,000001A0,false,Rx,0,8,00,80,00,00,FF,F4,EF,07,
110702770,00000130,false,Rx,0,5,45,42,39,BF,8C,00,00,00,
110712787,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
110712796,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
110720771,000001D0,false,Rx,0,8,46,43,6B,C6,E9,8A,3D,B2,
110724773,000004E7,false,Rx,0,8,6D,52,FF,01,FF,FF,FF,FF,
110737780,0000024A,false,Rx,0,2,06,FF,00,00,00,00,00,00,
110743777,000001D2,false,Rx,0,6,E1,0F,FF,ED,F0,FF,00,00,
110746768,000001FC,false,Rx,0,2,AD,03,00,00,00,00,00,00,
110756779,000001A6,false,Rx,0,8,02,00,00,00,00,00,E4,FD,
110768774,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
110769760,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
110769765,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
110770762,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
110771757,00000592,false,Rx,0,8,01,03,95,FF,FF,FF,FF,FF,
110782772,00000395,false,Rx,0,5,0A,08,50,64,FF,00,00,00,
110786756,000000A8,false,Rx,0,8,F2,10,03,10,03,1F,03,02,
110788751,000001B4,false,Rx,0,8,00,10,E2,F4,16,30,FC,E0,
110789756,000000AA,false,Rx,0,8,0E,60,02,00,D8,0D,80,9A,
110796752,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
110800756,000001A0,false,Rx,0,8,00,80,00,E0,FE,F7,4F,49,
110802751,00000130,false,Rx,0,5,45,42,39,BF,9D,00,00,00,
110812759,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
110812776,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
110814750,000004ED,false,Rx,0,8,6E,52,FF,01,FF,FF,FF,FF,
110820746,000001D0,false,Rx,0,8,46,43,6C,C6,81,8B,3D,B2,
110837749,000000C0,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
110847743,000005C0,false,Rx,0,8,04,00,32,FF,FF,FF,F0,FF,
110849741,00000338,false,Rx,0,8,C3,00,02,F0,00,FE,FE,FE,
110850739,00000200,false,Rx,0,8,40,81,FC,04,00,00,00,00,
110853740,00000581,false,Rx,0,8,40,5B,00,0D,FF,FF,FF,FF,
110856730,000001A6,false,Rx,0,8,02,00,00,00,00,00,74,FF,
110864737,00000580,false,Rx,0,8,04,11,04,01,05,FF,00,F0,
110876730,00000306,false,Rx,0,2,00,F0,00,00,00,00,00,00,
110878731,00000314,false,Rx,0,3,11,02,FF,00,00,00,00,00,
110879719,00000226,false,Rx,0,5,FF,FE,FF,20,FF,00,00,00,
110886723,000000A8,false,Rx,0,8,FB,9A,02,90,02,1F,03,02,
110888717,000001B4,false,Rx,0,8,00,10,E2,F5,16,30,FC,E1,
110889725,000000AA,false,Rx,0,8,11,6A,02,00,D1,0D,80,9A,
110890718,000000BE,false,Rx,0,5,AF,FF,FF,7D,FF,00,00,00,
110892721,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
110894725,000000C8,false,Rx,0,6,00,80,FD,00,80,12,00,00,
110896729,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
110897718,000004EE,false,Rx,0,8,70,52,FF,01,FF,FF,FF,FF,
110898726,0000019E,false,Rx,0,8,00,ED,90,FC,F0,00,00,0C,
110900715,000001A0,false,Rx,0,8,00,80,00,A0,FE,F7,9F,59,
110901721,000001FE,false,Rx,0,2,C0,00,00,00,00,00,00,00,
110903722,0000026E,false,Rx,0,8,00,40,40,50,FF,FF,FF,FF,
110904712,00000130,false,Rx,0,5,45,42,39,BF,AE,00,00,00,
110905716,00000304,false,Rx,0,2,E3,FF,00,00,00,00,00,00,
110908711,00000338,false,Rx,0,8,61,00,20,F0,00,FE,FE,FE,
110912712,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
110912717,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
110920720,000001D0,false,Rx,0,8,46,43,6D,C6,18,8C,3D,B2,
110927711,00000366,false,Rx,0,4,D8,70,03,FD,00,00,00,00,
110928708,0000035C,false,Rx,0,4,DF,F0,FF,51,00,00,00,00,
110930707,0000035E,false,Rx,0,8,00,F0,05,00,00,91,E8,FF,
110931704,00000360,false,Rx,0,7,FF,FF,FF,FF,FF,FF,FF,00,
110932706,00000362,false,Rx,0,7,01,C0,03,01,C0,03,EE,00,
110933708,00000364,false,Rx,0,7,FD,FD,FF,FD,DF,FD,FF,00,
110943716,000001D2,false,Rx,0,6,E1,0F,FF,0D,F0,FF,00,00,
110946707,000001FC,false,Rx,0,2,AE,03,00,00,00,00,00,00,
110948705,00000172,false,Rx,0,5,C3,00,02,60,F0,00,00,00,
110956707,000001A6,false,Rx,0,8,02,00,00,00,00,00,04,F1,
110957702,0000032E,false,Rx,0,8,FF,FF,FF,80,FF,FF,FF,FF,
110958704,000002F4,false,Rx,0,4,E8,FF,1E,F8,00,00,00,00,
110986712,000000A8,false,Rx,0,8,D6,85,02,80,02,1F,03,02,
110987701,000004F0,false,Rx,0,8,72,42,FF,01,00,30,84,00,
110988692,000000AA,false,Rx,0,8,A5,B5,01,00,1A,0E,80,9B,
110989690,000001B4,false,Rx,0,8,00,10,E2,F6,16,30,FC,E2,
110990693,000002CA,false,Rx,0,2,79,FF,00,00,00,00,00,00,
110996702,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
111000694,000001A0,false,Rx,0,8,00,80,00,E0,FE,F7,EF,E9,
111002694,00000130,false,Rx,0,5,45,42,39,BF,C0,00,00,00,
111012694,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111012703,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111020688,000001D0,false,Rx,0,8,46,43,6E,C6,AA,8C,3D,B2,
111037694,000000C0,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
111050697,00000200,false,Rx,0,8,40,81,FC,00,00,00,00,00,
111056670,000001A6,false,Rx,0,8,02,00,00,00,00,00,94,F2,
111057679,00000581,false,Rx,0,8,40,4C,00,0D,FF,FF,FF,FF,
111058672,000001B5,false,Rx,0,6,FF,FF,02,00,08,FF,00,00,
111074683,000004F2,false,Rx,0,8,73,42,FF,01,00,00,00,00,
111086688,000000A8,false,Rx,0,8,F0,10,02,10,02,1F,03,02,
111088669,000001B4,false,Rx,0,8,00,10,E2,F7,16,30,FC,E3,
111089663,000000AA,false,Rx,0,8,38,60,01,00,02,0E,80,9B,
111090658,000000BE,false,Rx,0,5,5F,FF,FF,7E,FF,00,00,00,
111092666,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
111094668,000000C8,false,Rx,0,6,00,80,FD,00,80,32,00,00,
111096667,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
111098667,0000019E,false,Rx,0,8,00,ED,40,FC,F0,00,00,BB,
111100667,000001A0,false,Rx,0,8,00,80,00,D0,FE,F4,4F,36,
111102660,00000130,false,Rx,0,5,45,42,39,BF,D1,00,00,00,
111112659,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111112667,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111121658,000001D0,false,Rx,0,8,46,43,60,C6,3A,8D,3D,B2,
111136654,0000032A,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
111137648,00000202,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
111137654,0000021A,false,Rx,0,3,00,20,34,00,00,00,00,00,
111143652,000001D2,false,Rx,0,6,E1,0F,FF,1D,F0,FF,00,00,
111146645,000001FC,false,Rx,0,2,A0,03,00,00,00,00,00,00,
111156654,000001A6,false,Rx,0,8,02,00,00,00,00,00,24,F4,
111157652,000003B5,false,Rx,0,2,FF,FF,00,00,00,00,00,00,
111161645,000004F3,false,Rx,0,8,78,42,FF,01,FF,FF,FF,FF,
111186656,000000A8,false,Rx,0,8,BA,FA,01,F0,01,1F,03,02,
111188634,000001B4,false,Rx,0,8,00,10,E2,F8,16,30,FC,E4,
111189636,000000AA,false,Rx,0,8,4E,3A,01,00,3F,0E,80,9A,
111196638,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
111200641,000001A0,false,Rx,0,8,00,80,00,D0,FE,F4,9F,86,
111202631,00000130,false,Rx,0,5,45,42,39,BF,E2,00,00,00,
111212638,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111212649,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111221627,000001D0,false,Rx,0,8,46,43,61,C6,C7,8D,3D,B2,
111237639,000000C0,false,Rx,0,2,F1,FF,00,00,00,00,00,00,
111248631,000004F8,false,Rx,0,8,00,42,FF,01,FF,FF,FF,FF,
111251615,00000200,false,Rx,0,8,40,81,FC,01,00,00,00,00,
111255619,000001A6,false,Rx,0,8,02,00,00,00,00,00,B4,F5,
111286632,000000A8,false,Rx,0,8,55,C5,01,C0,01,1F,03,02,
111288602,000001B4,false,Rx,0,8,00,10,E2,F9,16,30,FC,E5,
111289608,000000AA,false,Rx,0,8,49,75,01,00,FF,0D,80,9A,
111290611,000000BE,false,Rx,0,5,0F,FF,FF,7F,FF,00,00,00,
111292609,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
111294601,000000C8,false,Rx,0,6,00,80,FD,00,80,52,00,00,
111296606,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
111298605,0000019E,false,Rx,0,8,00,ED,E0,FC,F0,00,00,5C,
111300599,000001A0,false,Rx,0,8,00,80,00,A0,FE,F7,EF,A9,
111302598,00000130,false,Rx,0,5,45,42,39,BF,F3,00,00,00,
111312614,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111312631,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111321608,000001D0,false,Rx,0,8,46,43,62,C6,50,8E,3D,B2,
111322601,00000480,false,Rx,0,8,40,42,FF,01,FF,FF,FF,FF,
111341616,000001B6,false,Rx,0,7,FF,FF,3C,29,97,00,47,00,
111343598,000001D2,false,Rx,0,6,E1,0F,FF,2D,F0,FF,00,00,
111346595,000001FC,false,Rx,0,2,A1,03,00,00,00,00,00,00,
111355607,000001A6,false,Rx,0,8,02,00,00,00,00,00,44,F7,
111386592,000000A8,false,Rx,0,8,71,50,02,50,02,1F,03,02,
111388578,000001B4,false,Rx,0,8,00,10,E2,FA,16,30,FC,E6,
111389574,000000AA,false,Rx,0,8,8E,B0,01,00,09,0E,80,9A,
111396575,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
111400577,000001A0,false,Rx,0,8,00,80,00,B0,FE,F7,4F,19,
111402581,00000130,false,Rx,0,5,45,42,39,BF,04,00,00,00,
111406582,000004C0,false,Rx,0,8,41,42,FF,01,00,01,FA,02,
111412572,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111412581,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111421577,000001D0,false,Rx,0,8,46,43,63,C6,D8,8E,3D,B2,
111437574,000000C0,false,Rx,0,2,F2,FF,00,00,00,00,00,00,
111451570,00000200,false,Rx,0,8,40,81,FC,02,00,00,00,00,
111456561,000001A6,false,Rx,0,8,02,00,00,00,00,00,D4,F8,
111486568,000000A8,false,Rx,0,8,BA,FA,01,F0,01,1F,03,02,
111488553,000001B4,false,Rx,0,8,00,10,E2,FB,16,30,FC,E7,
111489557,000000AA,false,Rx,0,8,8B,AA,01,00,0C,0E,80,9A,
111490556,000000BE,false,Rx,0,5,AF,FF,FF,80,FF,00,00,00,
111492551,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
111493554,00000598,false,Rx,0,8,40,33,01,15,FF,FF,FF,FF,
111494543,000000C8,false,Rx,0,6,00,80,FD,00,80,72,00,00,
111496547,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
111498545,0000019E,false,Rx,0,8,00,ED,90,FC,F0,00,00,0C,
111500554,000001A0,false,Rx,0,8,00,80,00,A0,FE,F7,9F,59,
111502550,00000130,false,Rx,0,5,45,42,39,BF,15,00,00,00,
111506547,000004C1,false,Rx,0,8,43,52,FE,01,FF,FF,FF,FF,
111512550,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111512560,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111521557,000001D0,false,Rx,0,8,46,43,64,C6,65,8F,3D,B2,
111543554,000001D2,false,Rx,0,6,E1,0F,FF,3D,F0,FF,00,00,
111546539,000001FC,false,Rx,0,2,A2,03,00,00,00,00,00,00,
111556556,000001A6,false,Rx,0,8,02,00,00,00,00,00,64,FA,
111586542,000000A8,false,Rx,0,8,D5,05,02,00,02,1F,03,02,
111588518,000001B4,false,Rx,0,8,00,10,E2,FC,16,30,FC,E8,
111589525,000000AA,false,Rx,0,8,9E,A5,01,00,24,0E,80,9A,
111590527,000004C3,false,Rx,0,8,44,42,FF,01,FF,FF,FF,FF,
111591522,000001D6,false,Rx,0,2,C4,00,00,00,00,00,00,00,
111592514,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
111592520,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
111593517,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
111596519,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
111600522,000001A0,false,Rx,0,8,00,80,00,E0,FE,F7,EF,E9,
111602523,00000130,false,Rx,0,5,45,42,39,BF,26,00,00,00,
111612512,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111612520,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111622509,000001D0,false,Rx,0,8,46,43,65,C6,F1,8F,3D,B2,
111637525,000000C0,false,Rx,0,2,F3,FF,00,00,00,00,00,00,
111652520,00000200,false,Rx,0,8,40,81,FC,03,00,00,00,00,
111655498,000001A6,false,Rx,0,8,02,00,00,00,00,00,F4,FB,
111664508,00000328,false,Rx,0,6,97,AC,1D,00,16,20,00,00,
111672503,000003B3,false,Rx,0,6,F1,FF,00,00,00,F1,00,00,
111674490,000004C4,false,Rx,0,8,45,42,FF,01,FF,FF,FF,FF,
111686493,000000A8,false,Rx,0,8,30,B0,01,B0,01,1F,03,02,
111688486,000001B4,false,Rx,0,8,00,10,E2,FD,16,30,FC,E9,
111689492,000000AA,false,Rx,0,8,04,30,01,00,FF,0D,80,9A,
111690494,000001D6,false,Rx,0,2,C4,00,00,00,00,00,00,00,
111690500,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
111691497,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
111692484,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
111693496,000000BE,false,Rx,0,5,5F,FF,FF,81,FF,00,00,00,
111694484,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
111695495,000000C8,false,Rx,0,6,00,80,FD,00,80,92,00,00,
111696486,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
111698495,0000019E,false,Rx,0,8,00,ED,40,FC,F0,00,00,BB,
111700485,000001A0,false,Rx,0,8,00,80,00,A0,FE,F4,4F,06,
111702491,00000130,false,Rx,0,5,45,42,39,BF,37,00,00,00,
111712491,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111712501,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111722485,000001D0,false,Rx,0,8,46,43,66,C6,7B,90,3D,B2,
111730477,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
111731484,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
111732478,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
111732483,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
111743475,000001D2,false,Rx,0,6,E1,0F,FF,4D,F0,FF,00,00,
111746481,000001FC,false,Rx,0,2,A3,03,00,00,00,00,00,00,
111755478,000001A6,false,Rx,0,8,02,00,00,00,00,00,84,FD,
111764474,000004C5,false,Rx,0,8,60,42,FF,FF,FF,FF,FF,FF,
111772464,000003B4,false,Rx,0,8,FF,FF,00,FF,FF,FF,FF,FF,
111786474,000000A8,false,Rx,0,8,5B,4A,02,40,02,1F,03,02,
111788456,000001B4,false,Rx,0,8,00,10,E2,FE,16,30,FC,EA,
111789458,000000AA,false,Rx,0,8,6A,BA,01,00,DB,0D,80,9A,
111796465,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
111800453,000001A0,false,Rx,0,8,00,80,00,B0,FE,F7,9F,69,
111802459,00000130,false,Rx,0,5,45,42,39,BF,48,00,00,00,
111812468,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111812478,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111822479,000001D0,false,Rx,0,8,46,43,67,C6,05,91,3D,B2,
111830464,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
111831450,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
111832454,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
111833456,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
111837454,000000C0,false,Rx,0,2,F4,FF,00,00,00,00,00,00,
111848465,000004E0,false,Rx,0,8,62,42,FF,01,FF,FF,FF,FF,
111850447,00000338,false,Rx,0,8,61,00,20,F0,00,FE,FE,FE,
111852438,00000200,false,Rx,0,8,40,81,FC,04,00,00,00,00,
111856446,000001A6,false,Rx,0,8,02,00,00,00,00,00,14,FF,
111876450,00000306,false,Rx,0,2,00,F0,00,00,00,00,00,00,
111886448,000000A8,false,Rx,0,8,56,45,02,40,02,1F,03,02,
111888437,000001B4,false,Rx,0,8,00,10,E2,F0,16,30,FC,DC,
111889427,000000AA,false,Rx,0,8,74,B5,01,00,EA,0D,80,9A,
111890432,000000BE,false,Rx,0,5,0F,FF,FF,82,FF,00,00,00,
111890437,000001D6,false,Rx,0,2,C4,00,00,00,00,00,00,00,
111891426,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
111892433,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
111893436,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
111894424,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
111895428,000000C8,false,Rx,0,6,00,80,FD,00,80,B2,00,00,
111896426,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
111898423,0000019E,false,Rx,0,8,00,ED,E0,FC,F0,00,00,5C,
111900423,000001A0,false,Rx,0,8,00,80,00,E0,FE,F7,EF,E9,
111901425,000001FE,false,Rx,0,2,C0,00,00,00,00,00,00,00,
111902429,00000130,false,Rx,0,5,45,42,39,BF,59,00,00,00,
111905422,00000304,false,Rx,0,2,E3,FF,00,00,00,00,00,00,
111912435,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111912448,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
111923435,000001D0,false,Rx,0,8,46,43,68,C6,90,91,3D,B2,
111939419,000004E2,false,Rx,0,8,64,42,FF,01,FF,FF,FF,FF,
111943415,000001D2,false,Rx,0,6,E1,0F,FF,5D,F0,FF,00,00,
111946411,000001FC,false,Rx,0,2,A4,03,00,00,00,00,00,00,
111955419,000001A6,false,Rx,0,8,02,00,00,00,00,00,A4,F0,
111957410,0000032E,false,Rx,0,8,FF,FF,FF,7F,FF,FF,FF,FF,
111986414,000000A8,false,Rx,0,8,51,40,02,40,02,1F,03,02,
111988411,000001B4,false,Rx,0,8,00,10,E2,F1,16,30,FC,DD,
111989406,000000AA,false,Rx,0,8,83,A0,01,00,0E,0E,80,9A,
111990402,000002CA,false,Rx,0,2,79,FF,00,00,00,00,00,00,
111990407,000001D6,false,Rx,0,2,C4,00,00,00,00,00,00,00,
111991402,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
111992399,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
111993395,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
111996396,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
112000403,000001A0,false,Rx,0,8,00,80,00,D0,FE,F7,4F,39,
112002399,00000130,false,Rx,0,5,45,42,39,BF,6A,00,00,00,
112012403,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
112013397,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
112023392,000001D0,false,Rx,0,8,46,43,69,C6,04,92,3D,B2,
112030401,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
112031398,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
112031403,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
112032392,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
112037396,000000C0,false,Rx,0,2,F5,FF,00,00,00,00,00,00,
112039383,000004E4,false,Rx,0,8,65,42,FF,01,FF,FF,FF,FF,
112053393,00000200,false,Rx,0,8,40,81,FC,00,00,00,00,00,
112056386,000001A6,false,Rx,0,8,02,00,00,00,00,00,34,F2,
112057380,000001B5,false,Rx,0,6,FF,FF,02,00,08,FF,00,00,
112086384,000000A8,false,Rx,0,8,3B,3A,02,30,02,1F,03,02,
112088373,000001B4,false,Rx,0,8,00,10,E2,F2,16,30,FC,DE,
112089378,000000AA,false,Rx,0,8,85,DA,01,00,D6,0D,80,9A,
112090379,000000BE,false,Rx,0,5,AF,FF,FF,83,FF,00,00,00,
112092379,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
112094378,000000C8,false,Rx,0,6,00,80,FD,00,80,D2,00,00,
112096369,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
112098369,0000019E,false,Rx,0,8,00,ED,90,FC,F0,00,00,0C,
112100375,000001A0,false,Rx,0,8,00,80,00,A0,FE,F7,9F,59,
112102375,00000130,false,Rx,0,5,45,42,39,BF,7B,00,00,00,
112112380,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
112113372,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
112125366,000001D0,false,Rx,0,8,46,43,6A,C6,8E,92,3D,B2,
112131366,000001D6,false,Rx,0,2,C0,00,00,00,00,00,00,00,
112131372,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
112132360,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
112133365,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
112136356,0000032A,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
112137366,000004E5,false,Rx,0,8,67,42,FF,01,FF,FF,FF,FF,
112143356,000001D2,false,Rx,0,6,E1,0F,FF,6D,F0,FF,00,00,
112146362,000001FC,false,Rx,0,2,A5,03,00,00,00,00,00,00,
112156362,000001A6,false,Rx,0,8,02,00,00,00,00,00,C4,F3,
112157355,000002F0,false,Rx,0,2,74,F0,00,00,00,00,00,00,
112186363,000000A8,false,Rx,0,8,75,D5,01,D0,01,1F,03,02,
112188350,000000AA,false,Rx,0,8,AA,15,02,00,C0,0D,80,9A,
112189337,000001B4,false,Rx,0,8,00,10,E2,F3,16,30,FC,DF,
112190341,000001D6,false,Rx,0,2,C4,00,00,00,00,00,00,00,
112190346,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
112191339,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
112192337,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
112196341,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
112200340,000001A0,false,Rx,0,8,00,80,00,E0,FE,F2,EF,E4,
112202343,00000130,false,Rx,0,5,45,42,39,BF,8C,00,00,00,
112212348,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
112213344,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
112225336,000001D0,false,Rx,0,8,46,43,6B,C6,18,93,3D,B2,
112227336,000004E7,false,Rx,0,8,6D,52,FF,01,FF,FF,FF,FF,
112237331,000000C0,false,Rx,0,2,F6,FF,00,00,00,00,00,00,
112254337,00000200,false,Rx,0,8,40,81,FC,01,00,00,00,00,
112256332,000001A6,false,Rx,0,8,02,00,00,00,00,00,54,F5,
112286331,000000A8,false,Rx,0,8,B2,F0,02,F0,02,1F,03,02,
112288317,000001B4,false,Rx,0,8,00,10,E2,F4,16,30,FC,E0,
112289311,000000AA,false,Rx,0,8,C2,60,02,00,8D,0D,80,9A,
112290314,000001D6,false,Rx,0,2,C4,00,00,00,00,00,00,00,
112290319,000001EA,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
112291309,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
112292315,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
112293307,000000BE,false,Rx,0,5,5F,FF,FF,84,FF,00,00,00,
112294319,000000C4,false,Rx,0,7,00,80,FD,00,80,FF,F6,00,
112295309,000000C8,false,Rx,0,6,00,80,FD,00,80,F2,00,00,
112296314,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
112298311,0000019E,false,Rx,0,8,00,ED,40,FC,F0,00,00,BB,
112300307,000001A0,false,Rx,0,8,00,80,00,D0,FE,F7,4F,39,
112302312,00000130,false,Rx,0,5,45,42,39,BF,9D,00,00,00,
112312309,000000FD,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
112313310,000000FC,false,Rx,0,3,FF,FF,FF,00,00,00,00,00,
112323311,000001D0,false,Rx,0,8,46,43,6C,C6,A8,93,3D,B2,
112329311,000004ED,false,Rx,0,8,6E,52,FF,01,FF,FF,FF,FF,
112343312,000001D2,false,Rx,0,6,E1,0F,FF,7D,F0,FF,00,00,
112344298,000001B6,false,Rx,0,7,FF,FF,3C,2A,97,00,47,00,
112346292,000001FC,false,Rx,0,2,A6,03,00,00,00,00,00,00,
